epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
63,6235.86,0.83613,1.43891,0.70561,1.05008,0,0.84573,0.71486,0.77648,0.56194,0.69956,0.68675,0.61399,0.19348,1.00518,1.19676,1.03292,1.08155,0,0.020793,0.006931,0.020793,0.006931,0.020793,0.006931,0.020793,0.006931
64,6330.39,0.83969,1.43945,0.70841,1.05236,0,0.82546,0.74073,0.78121,0.58382,0.73657,0.65863,0.63516,0.20629,0.95823,1.2094,0.9535,1.02496,0,0.0206445,0.0068815,0.0206445,0.0068815,0.0206445,0.0068815,0.0206445,0.0068815
65,6425.42,0.8273,1.42018,0.70637,1.04595,0,0.8528,0.75904,0.79756,0.58808,0.7412,0.67871,0.62504,0.19569,0.96679,1.21803,0.9776,1.03204,0,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832
66,6520.92,0.83227,1.44217,0.71122,1.04184,0,0.84411,0.76305,0.80504,0.59078,0.74988,0.67871,0.65574,0.19791,0.93953,1.20841,0.92578,1.02274,0,0.0203475,0.0067825,0.0203475,0.0067825,0.0203475,0.0067825,0.0203475,0.0067825
67,6615.78,0.82954,1.42864,0.70128,1.04815,0,0.81901,0.78148,0.80057,0.60295,0.727,0.68675,0.64504,0.20785,0.93335,1.20767,0.93288,1.01364,0,0.020199,0.006733,0.020199,0.006733,0.020199,0.006733,0.020199,0.006733
68,6710.4,0.8294,1.41285,0.70442,1.05153,0,0.82329,0.78586,0.81332,0.60538,0.73912,0.68675,0.66819,0.21272,0.97461,1.187,0.91894,1.04025,0,0.0200505,0.0066835,0.0200505,0.0066835,0.0200505,0.0066835,0.0200505,0.0066835
69,6805.46,0.83249,1.42841,0.69343,1.04555,0,0.87898,0.72921,0.7955,0.59523,0.79345,0.6506,0.63362,0.20505,0.96539,1.20933,0.93906,1.04751,0,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634
70,6909.64,0.8375,1.43168,0.70149,1.05278,0,0.79764,0.77566,0.79197,0.57192,0.67695,0.67326,0.63137,0.19709,0.99676,1.19786,0.96988,1.06733,0,0.0197535,0.0065845,0.0197535,0.0065845,0.0197535,0.0065845,0.0197535,0.0065845
71,7018.06,0.82886,1.41637,0.69493,1.04961,0,0.85445,0.73085,0.78516,0.58349,0.77474,0.65462,0.64531,0.20533,0.96692,1.20298,0.93809,1.03414,0,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535
72,7126.65,0.82072,1.43651,0.68591,1.03877,0,0.81483,0.76305,0.78553,0.57453,0.70333,0.65863,0.6059,0.20155,0.95766,1.18958,0.95522,1.0587,0,0.0194565,0.0064855,0.0194565,0.0064855,0.0194565,0.0064855,0.0194565,0.0064855
73,7234.87,0.82679,1.41946,0.70206,1.0427,0,0.78763,0.75502,0.79157,0.57399,0.70384,0.6747,0.6416,0.20431,0.99693,1.18068,0.96972,1.05865,0,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436
74,7343.26,0.81956,1.40138,0.67276,1.03974,0,0.79363,0.7722,0.7981,0.60316,0.72481,0.6988,0.67131,0.21156,0.95093,1.19595,0.93018,1.03866,0,0.0191595,0.0063865,0.0191595,0.0063865,0.0191595,0.0063865,0.0191595,0.0063865
75,7451.89,0.81601,1.41446,0.67781,1.04376,0,0.82631,0.76423,0.81398,0.60146,0.71075,0.6747,0.67069,0.21109,0.96394,1.20149,0.9199,1.04774,0,0.019011,0.006337,0.019011,0.006337,0.019011,0.006337,0.019011,0.006337
76,7560.29,0.81527,1.40859,0.68577,1.04125,0,0.83419,0.76305,0.80433,0.60735,0.74199,0.67871,0.6521,0.21217,0.92949,1.19982,0.91559,1.01555,0,0.0188625,0.0062875,0.0188625,0.0062875,0.0188625,0.0062875,0.0188625,0.0062875
77,7668.52,0.81317,1.4135,0.6749,1.04029,0,0.85266,0.76693,0.81512,0.62028,0.7431,0.65863,0.62388,0.20987,0.93957,1.21679,0.92462,1.00962,0,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238
78,7776.97,0.82106,1.41341,0.67821,1.04143,0,0.83385,0.75904,0.80205,0.60103,0.72962,0.66265,0.63801,0.21811,0.93054,1.20979,0.92701,1.01023,0,0.0185655,0.0061885,0.0185655,0.0061885,0.0185655,0.0061885,0.0185655,0.0061885
